id,fecha,heladeria_id,categoria_id,puntaje_gusto,puntaje_general
131,2026-04-08,6,3,9.9,8.6
132,2026-04-04,2,3,7.6,8.2
133,2025-12-22,6,2,9.2,8.8
134,2025-12-11,1,1,8.7,7.8
135,2025-12-27,2,4,9.0,7.4
136,2026-01-07,1,8,8.3,8.8
137,2026-05-08,10,9,8.5,8.2
138,2026-01-08,8,7,6.9,6.6
139,2026-05-22,3,5,8.2,10.0
140,2026-03-17,5,7,8.8,8.4
141,2026-04-30,5,5,8.3,7.4
142,2025-12-15,5,3,7.9,7.1
143,2026-03-07,1,3,8.3,7.7
144,2026-03-06,1,9,10.0,9.3
145,2026-04-30,8,5,7.4,6.4
146,2026-03-28,6,7,8.9,9.2
147,2026-04-13,3,4,9.9,10.0
148,2026-02-01,3,10,8.3,9.6
149,2026-04-19,1,2,8.3,8.2
150,2025-12-01,2,3,7.6,6.7
151,2026-05-22,4,10,6.9,6.2
152,2025-12-28,11,9,8.3,9.1
153,2026-05-22,1,6,8.9,9.2
154,2026-04-15,6,3,9.1,9.9
155,2026-02-05,3,4,8.2,9.1
156,2026-05-12,1,6,9.2,7.3
157,2026-02-24,1,5,8.3,8.6
158,2025-12-27,3,2,10.0,8.6
159,2026-02-12,3,7,9.7,10.0
160,2026-03-20,5,4,8.8,8.0
161,2026-01-08,9,10,8.1,7.1
162,2026-03-25,10,2,8.7,8.3
163,2025-11-29,6,9,9.8,9.1
164,2026-02-04,2,2,7.9,7.1
165,2026-04-06,6,5,10.0,9.1
166,2026-01-13,4,8,5.7,6.1
167,2026-04-07,5,3,8.4,9.5
168,2025-12-26,3,9,9.9,7.3
169,2026-05-08,10,6,7.6,9.3
170,2026-02-13,1,8,9.2,10.0
171,2026-05-11,10,8,8.3,7.7
172,2026-04-07,3,7,9.4,8.7
173,2026-05-03,8,9,8.0,6.7
174,2026-01-18,1,9,8.6,7.8
175,2026-01-07,8,2,7.8,6.4
176,2026-03-04,7,6,8.4,9.4
177,2026-01-09,3,3,8.1,10.0
178,2026-04-16,5,9,8.6,7.3
179,2026-04-13,5,6,8.5,8.8
180,2025-11-29,6,9,9.0,9.8
181,2026-05-01,6,6,10.0,9.0
182,2026-02-19,10,9,7.9,8.3
183,2026-04-03,11,9,8.7,9.4
184,2025-12-03,6,4,9.5,9.1
185,2025-12-27,8,1,6.6,5.8
186,2026-03-01,5,9,7.5,7.2
187,2026-02-15,7,5,7.9,6.7
188,2026-01-29,1,2,6.9,8.6
189,2025-12-13,10,4,9.9,9.3
190,2026-01-29,1,6,8.6,7.7
191,2026-04-23,1,10,10.0,8.6
192,2025-12-19,1,7,8.9,8.5
193,2025-12-20,2,2,7.6,7.0
194,2026-04-02,5,1,8.2,9.4
195,2025-12-16,5,4,9.3,6.5
196,2026-04-14,1,2,7.8,8.0
197,2025-12-31,6,4,10.0,10.0
198,2025-12-31,1,3,9.3,7.7
199,2026-05-16,1,1,8.4,9.0
200,2026-03-30,6,3,9.4,9.1
201,2026-04-18,7,9,7.8,8.8
202,2026-01-10,6,3,10.0,9.2
203,2026-02-04,1,1,9.0,7.6
204,2026-04-13,4,9,6.7,7.7
205,2026-05-03,3,4,8.2,9.6
206,2026-03-17,6,4,8.1,10.0
207,2026-01-22,3,9,8.9,9.4
208,2026-04-16,10,5,8.7,8.5
209,2026-05-24,4,1,7.3,5.5
210,2026-01-19,6,3,9.7,9.3
211,2026-02-16,11,5,8.3,7.9
212,2026-03-11,1,9,8.9,7.8
213,2026-05-19,3,6,10.0,9.5
214,2026-05-14,2,1,7.8,8.2
215,2026-03-04,6,6,8.3,8.4
216,2026-03-21,5,1,8.8,7.6
217,2026-04-10,1,6,8.4,7.5
218,2026-03-24,3,4,8.6,9.9
219,2025-12-29,5,5,8.7,8.3
220,2026-01-31,7,3,7.7,8.0
221,2026-01-25,5,6,9.2,7.6
222,2025-12-15,1,1,8.8,10.0
223,2026-02-23,6,4,10.0,9.0
224,2025-12-04,8,7,7.7,5.8
225,2026-04-28,3,1,9.2,9.6
226,2026-04-19,2,5,7.9,7.9
227,2026-01-26,8,6,7.9,7.5
228,2026-04-28,3,5,9.6,9.3
229,2026-01-24,2,6,6.8,8.2
230,2025-11-30,10,10,8.6,8.9
231,2025-12-17,10,9,9.3,8.0
232,2026-05-09,1,6,8.5,8.4
233,2025-12-14,1,7,9.7,7.9
234,2026-01-26,1,3,9.8,8.8
235,2025-12-16,3,6,9.5,9.8
236,2025-12-07,3,1,9.4,10.0
237,2026-02-21,10,8,8.2,9.5
238,2025-12-17,5,6,8.1,9.4
239,2026-04-09,4,7,6.8,6.7
240,2026-01-28,3,3,8.6,8.5
241,2026-02-08,1,1,8.8,8.8
242,2026-05-19,4,7,7.8,6.7
243,2026-04-02,10,5,7.8,8.7
244,2026-01-22,11,3,8.8,8.9
245,2026-04-16,6,5,9.2,9.0
246,2026-01-01,2,2,7.2,8.4
247,2026-04-24,1,10,9.8,8.1
248,2026-04-25,6,2,9.2,9.9
249,2026-03-30,2,5,8.7,8.8
250,2026-01-30,1,9,8.4,8.3
251,2026-03-30,10,10,8.8,8.7
252,2026-03-13,6,6,9.5,8.8
253,2026-01-16,3,3,9.3,10.0
254,2025-12-23,1,3,8.4,8.8
255,2025-12-23,9,5,9.6,7.2
256,2026-05-16,9,3,8.3,9.1
257,2026-03-19,3,9,9.7,10.0
258,2026-02-27,9,9,8.4,8.0
259,2026-03-17,6,7,10.0,9.9
260,2026-03-14,1,9,8.7,8.7
261,2026-03-28,3,7,9.6,8.8
262,2025-12-12,9,5,7.9,7.6
263,2026-05-20,6,3,10.0,10.0
264,2026-05-15,8,1,7.5,8.4
265,2026-05-13,11,3,9.1,8.6
266,2025-12-24,1,9,8.5,8.8
267,2025-12-14,3,7,9.4,8.5
268,2026-03-12,3,6,8.9,9.4
269,2026-02-23,8,1,8.4,7.0
270,2025-12-26,6,4,8.6,7.6
271,2026-01-31,1,8,8.1,9.2
272,2026-01-17,1,7,7.9,9.3
273,2026-01-16,11,2,9.2,8.4
274,2026-04-15,4,6,6.0,6.3
275,2026-03-23,11,4,8.5,8.8
276,2026-01-03,2,1,6.7,8.6
277,2026-03-17,10,5,8.8,8.8
278,2026-01-14,8,9,7.7,8.2
279,2026-02-08,1,1,8.9,9.2
280,2026-03-27,8,5,6.8,8.5
281,2026-01-31,2,5,7.7,6.9
282,2025-12-18,3,8,9.0,7.6
283,2026-03-22,1,1,8.5,6.7
284,2026-04-18,6,3,10.0,9.7
285,2025-12-24,8,1,6.6,7.1
286,2025-12-11,3,10,9.3,8.2
287,2026-05-14,6,7,9.4,9.4
288,2026-04-16,3,5,9.1,8.6
289,2025-12-02,1,1,8.1,8.4
290,2025-12-22,5,7,8.0,8.7
291,2026-01-28,1,1,9.8,9.3
292,2026-01-10,1,9,8.8,8.1
293,2026-03-13,6,9,10.0,9.9
294,2026-04-02,3,8,10.0,9.3
295,2026-04-01,5,6,9.6,8.4
296,2026-01-22,1,1,8.3,8.2
297,2026-03-11,10,3,9.0,7.9
298,2025-12-14,6,5,10.0,9.7
299,2026-01-10,2,10,7.6,7.5
300,2026-03-06,2,7,7.4,6.1
301,2025-11-29,10,7,8.3,9.7
302,2026-03-08,3,4,9.5,9.9
303,2026-02-04,4,7,7.9,6.9
304,2026-03-25,10,4,9.1,7.1
305,2026-02-10,10,3,9.6,9.5
306,2026-03-17,7,2,8.4,8.1
307,2026-05-26,1,3,8.8,9.5
308,2026-04-20,3,9,9.8,6.8
309,2026-05-17,3,6,9.0,8.2
310,2026-04-02,11,3,7.8,9.4
311,2026-01-07,8,2,7.3,7.5
312,2026-01-16,3,1,9.4,8.1
313,2026-02-12,3,9,8.2,8.8
314,2026-01-23,6,7,9.4,9.1
315,2025-12-13,1,7,8.6,10.0
316,2026-04-26,9,8,8.5,7.8
317,2026-04-16,2,1,7.5,7.4
318,2025-12-14,5,9,8.9,8.1
319,2026-02-17,3,5,9.9,9.4
320,2025-12-13,5,5,9.9,8.1
321,2025-12-11,1,1,9.6,7.8
322,2026-04-27,2,7,7.2,8.9
323,2026-03-31,10,2,9.2,8.8
324,2026-04-06,10,7,10.0,8.4
325,2026-04-13,10,6,9.4,9.3
326,2026-01-08,2,6,8.7,6.5
327,2025-12-13,1,6,8.8,8.9
328,2026-04-08,10,8,9.7,8.8
329,2025-12-19,10,4,9.4,7.4
330,2026-01-15,8,8,7.1,8.2
331,2025-12-16,9,2,7.7,7.6
332,2026-04-30,3,4,10.0,8.4
333,2025-12-16,4,4,6.7,5.8
334,2026-05-20,2,1,8.7,8.2
335,2026-01-28,6,5,10.0,9.1
336,2026-03-12,5,5,7.4,6.9
337,2025-12-29,6,5,10.0,9.9
338,2026-04-23,9,7,8.3,7.8
339,2026-01-31,3,9,8.8,8.9
340,2026-04-26,5,3,7.7,7.3
341,2026-04-30,8,5,7.9,5.8
342,2025-12-09,7,3,7.4,7.7
343,2026-05-06,2,7,7.7,6.3
344,2025-12-19,6,1,8.5,9.8
345,2026-03-16,11,5,8.9,9.6
346,2026-05-16,1,6,8.9,9.0
347,2026-04-27,9,9,7.3,7.1
348,2026-04-22,6,4,8.7,8.8
349,2026-04-11,8,3,7.1,8.1
350,2026-02-17,6,1,9.0,10.0
351,2026-02-03,6,2,10.0,9.7
352,2026-01-20,2,1,7.6,7.3
353,2026-05-19,6,5,9.2,8.3
354,2026-02-17,6,5,9.0,10.0
355,2026-01-29,4,7,7.5,8.2
356,2026-02-04,3,1,8.9,8.3
357,2026-03-10,2,4,7.6,6.8
358,2026-01-01,1,8,9.0,7.4
359,2026-05-19,10,6,7.2,8.7
360,2026-05-13,3,6,10.0,9.4
361,2026-02-13,5,1,8.8,8.3
362,2026-03-26,1,7,8.9,7.5
363,2026-02-17,1,5,8.3,9.6
364,2025-12-17,6,8,8.8,9.1
365,2025-12-01,11,9,9.5,8.6
366,2026-03-26,5,6,8.5,8.0
367,2026-05-07,1,9,9.3,9.4
368,2026-04-22,1,3,8.2,7.5
369,2025-12-24,1,9,7.5,9.0
370,2025-12-17,4,4,7.4,8.9
371,2026-04-15,10,5,8.7,8.3
372,2026-01-22,4,9,7.3,7.2
373,2026-04-07,8,3,7.2,6.5
374,2026-02-04,1,7,8.8,8.6
375,2026-01-01,6,9,9.6,10.0
376,2026-02-26,6,8,9.6,8.4
377,2025-12-16,4,2,6.7,6.8
378,2026-01-30,1,2,8.8,9.0
379,2026-03-03,11,4,8.7,6.9
380,2026-02-09,4,1,6.3,7.4
381,2026-01-08,6,6,9.5,10.0
382,2026-03-21,1,10,8.9,8.3
383,2026-04-17,11,3,8.3,8.3
384,2026-05-28,6,1,9.7,9.4
385,2026-02-14,9,6,8.5,6.4
386,2026-05-04,5,4,7.4,8.0
387,2026-05-15,3,4,9.7,9.7
388,2026-04-13,8,1,6.9,5.0
389,2025-12-01,1,3,8.4,8.9
390,2026-05-18,5,3,8.4,8.7
391,2026-04-19,1,5,9.6,8.5
392,2026-02-13,1,5,8.5,7.9
393,2026-05-17,7,5,7.1,6.6
394,2025-12-25,5,8,7.9,9.0
395,2026-01-02,6,4,10.0,9.0
396,2026-02-04,1,9,10.0,8.1
397,2025-12-28,6,9,10.0,10.0
398,2025-12-26,1,5,9.1,8.1
399,2026-04-19,5,7,8.1,8.3
400,2026-01-07,1,1,7.9,7.8
